id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
20,8299,2929,803,70,128,2953.125,878.125,0.9714428186416626,0.9738562107086182,0,0,3000,2248
21,5608,2543,673,44,130,2578.125,737.625,0.9713255167007446,0.9840623140335083,0,0,3000,2248
22,5397,2840,1807,53,110,2859.375,1861.625,0.9710612893104553,0.9854699373245239,0,0,3000,2248
23,7960,2344,803,65,131,2390.625,878.125,0.9704887270927429,0.9784253239631653,0,0,3000,2248
24,1807,2004,682,30,61,2015.625,737.625,0.9695782661437988,0.9776200652122498,0,0,3000,2248
25,5046,2350,17,40,134,2390.625,105.375,0.9691349267959595,0.9709020256996155,0,0,3000,2248
26,99038,350,957,923,316,890.625,1018.625,0.9689205884933472,0.9747301936149597,0,0,3000,2248
27,2381,2188,1847,35,71,2203.125,1861.625,0.9688706994056702,0.9887264966964722,0,0,3000,2248
28,4002,2449,1679,42,132,2484.375,1721.125,0.9688571691513062,0.9809452891349792,0,0,3000,2248
29,17773,1697,487,96,188,1734.375,597.125,0.9670133590698242,0.9822791814804077,0,0,3000,2248
30,6119,2346,1195,52,130,2390.625,1229.375,0.9663733243942261,0.9746610522270203,0,0,3000,2248
31,13922,1702,320,92,167,1734.375,386.375,0.9662725925445557,0.9809483289718628,0,0,3000,2248
32,2311,2086,1003,36,65,2109.375,1018.625,0.9660671353340149,0.9849591851234436,0,0,3000,2248
33,6432,2666,802,53,131,2671.875,878.125,0.9654654860496521,0.9770522117614746,0,0,3000,2248
34,6469,2538,0,51,145,2578.125,35.125,0.9654276371002197,0.9829754829406738,0,0,3000,2248
35,38202,1038,440,313,350,1171.875,667.375,0.965304970741272,0.9603099226951599,0,0,3000,2248
36,5723,2728,1065,49,127,2765.625,1088.875,0.9638425707817078,0.9802494645118713,0,0,3000,2248
37,5133,2482,1324,44,125,2484.375,1369.875,0.9635145664215088,0.9786332845687866,0,0,3000,2248
38,5076,2902,0,62,97,2953.125,35.125,0.9628048539161682,0.980682909488678,0,0,3000,2248
39,5673,2750,2021,51,130,2765.625,2142.625,0.9625663161277771,0.9688315987586975,0,0,3000,2248
40,1999,2272,938,32,64,2296.875,948.375,0.962314784526825,0.9704287648200989,0,0,3000,2248
41,5974,2914,1189,56,132,2953.125,1299.625,0.9622222185134888,0.9814385175704956,0,0,3000,2248
42,6286,2346,1073,53,252,2390.625,1299.625,0.9620233774185181,0.9654363393783569,0,0,3000,2248
43,5986,2935,1669,52,129,2953.125,1721.125,0.9614548683166504,0.9774039387702942,0,0,3000,2248
44,6746,2745,935,58,130,2765.625,948.375,0.9613792896270752,0.9778527617454529,0,0,3000,2248
45,4946,2449,1068,39,128,2484.375,1088.875,0.9612336158752441,0.9763763546943665,0,0,3000,2248
46,3292,2068,1673,44,83,2109.375,1721.125,0.9608458280563354,0.9774842262268066,0,0,3000,2248
47,7734,2348,673,62,132,2390.625,737.625,0.9606512784957886,0.9754820466041565,0,0,3000,2248
48,5778,2663,935,50,130,2671.875,1018.625,0.9605836868286133,0.9757057428359985,0,0,3000,2248
49,2926,2084,1130,45,67,2109.375,1159.125,0.9586632251739502,0.9847561120986938,0,0,3000,2248
50,101689,747,559,127,1038,796.875,1229.375,0.9585145711898804,0.978006899356842,0,0,3000,2248
51,8994,2772,1917,73,152,2765.625,2002.125,0.9584354162216187,0.9750850796699524,0,0,3000,2248
52,6016,2862,543,47,134,2859.375,667.375,0.9581148624420166,0.9722905158996582,0,0,3000,2248
53,2410,2268,1788,37,68,2296.875,1791.375,0.9574772119522095,0.9872270226478577,0,0,3000,2248
54,7453,2529,536,60,136,2578.125,597.125,0.9571678638458252,0.9767627120018005,0,0,3000,2248
55,2828,2174,939,44,67,2203.125,948.375,0.9569351077079773,0.9725217223167419,0,0,3000,2248
56,3996,2003,811,31,128,2015.625,878.125,0.9560035467147827,0.9728518128395081,0,0,3000,2248
57,5079,2573,1195,42,127,2578.125,1229.375,0.9550933837890625,0.9811283946037292,0,0,3000,2248
58,2301,2189,1736,38,65,2203.125,1791.375,0.9550170302391052,0.9844894409179688,0,0,3000,2248
59,6256,1701,348,47,138,1734.375,456.625,0.954777717590332,0.9624083638191223,0,0,3000,2248
60,2817,2171,1068,45,64,2203.125,1088.875,0.9547311067581177,0.9838027954101562,0,0,3000,2248
61,3497,2086,211,45,87,2109.375,245.875,0.9541716575622559,0.9841179847717285,0,0,3000,2248
62,5404,2849,0,61,105,2859.375,35.125,0.9536081552505493,0.9725676774978638,0,0,3000,2248
63,3296,2660,2167,44,80,2671.875,2212.875,0.9535057544708252,0.9822128415107727,0,0,3000,2248
64,8126,2833,99,65,165,2859.375,175.625,0.9532947540283203,0.9796540141105652,0,0,3000,2248
65,2665,2265,1323,40,68,2296.875,1369.875,0.9531040787696838,0.9799330830574036,0,0,3000,2248
66,6398,2346,1195,86,130,2390.625,1229.375,0.9525465965270996,0.9640232920646667,0,0,3000,2248
67,6283,2389,545,52,127,2390.625,667.375,0.952506422996521,0.9688721895217896,0,0,3000,2248
68,3282,2652,1194,30,123,2671.875,1229.375,0.9517829418182373,0.9851784706115723,0,0,3000,2248
69,3882,952,925,47,96,984.375,948.375,0.9516538381576538,0.9788480997085571,0,0,3000,2248
70,4036,2934,2160,46,87,2953.125,2212.875,0.9515841603279114,0.9861796498298645,0,0,3000,2248
71,3777,2088,131,51,88,2109.375,175.625,0.9514153599739075,0.981335461139679,0,0,3000,2248
72,2307,2169,1131,37,63,2203.125,1159.125,0.9513294100761414,0.9815292358398438,0,0,3000,2248
73,8466,2934,92,65,170,2953.125,175.625,0.950970470905304,0.974125862121582,0,0,3000,2248
74,5307,2934,2039,46,123,2953.125,2142.625,0.9505147337913513,0.9781349301338196,0,0,3000,2248
75,5653,1678,1809,71,87,1734.375,1861.625,0.9504948854446411,0.9707368016242981,0,0,3000,2248
76,2840,2173,1004,44,65,2203.125,1018.625,0.9494125247001648,0.985314667224884,0,0,3000,2248
77,2374,2278,804,38,66,2296.875,807.875,0.9493129849433899,0.967064619064331,0,0,3000,2248
78,5329,2655,0,51,116,2671.875,105.375,0.9492784738540649,0.9732739329338074,0,0,3000,2248
79,1634,2472,337,33,54,2484.375,386.375,0.9489955902099609,0.9890377521514893,0,0,3000,2248
80,6288,2926,933,55,129,2953.125,948.375,0.9486371278762817,0.9778406620025635,0,0,3000,2248
81,5112,2443,1198,43,127,2484.375,1229.375,0.948529064655304,0.9717361927032471,0,0,3000,2248
82,3404,2171,1258,51,71,2203.125,1299.625,0.9484955072402954,0.970136284828186,0,0,3000,2248
83,5193,2352,1325,44,125,2390.625,1369.875,0.9479833841323853,0.9653605818748474,0,0,3000,2248
84,9961,2744,1193,88,126,2765.625,1229.375,0.9479522705078125,0.9681736826896667,0,0,3000,2248
85,8652,2907,536,73,136,2953.125,597.125,0.9470415115356445,0.969959020614624,0,0,3000,2248
86,6358,2483,2041,52,137,2484.375,2142.625,0.9465560913085938,0.9713533520698547,0,0,3000,2248
87,5191,2346,1067,44,127,2390.625,1088.875,0.9459525346755981,0.9614434838294983,0,0,3000,2248
